0,1.5962
1,1.7414
2,2.0364
3,1.9737
4,2.0305
5,2.1055
6,2.0997
7,2.0925
8,2.0561
9,2.0187
10,2.0561
11,2.0926
12,2.1975
13,2.3652
14,2.4615
15,2.4435
16,2.46
17,2.6389
18,2.4665
19,2.4838
20,2.3823
21,2.3944
22,2.2077
23,2.1553
24,2.2083
25,2.2635
26,2.3306
27,2.3705
28,2.3878
29,2.4697
30,2.3413
31,2.2663
32,2.2648
33,2.0518
34,1.9594
35,1.9445
36,1.8677
37,1.9663
38,1.9658
39,2.1167
40,2.1712
41,2.1719
42,2.1387
43,2.0843
44,2.0434
45,1.9416
46,1.8602
47,1.8805
48,1.8164
49,1.9422
50,1.9583
51,2.1614
52,2.2188
53,2.3659
54,2.4799
55,2.4393
56,2.4255
57,2.5092
58,2.415
59,2.3252
60,2.399
61,2.4188
62,2.5908
63,2.7798
64,2.7952
65,3.081
66,3.2224
67,3.2242
68,3.3318
69,3.2355
70,3.1292
71,3.0489
72,3.1361
73,3.2245
74,3.287
75,3.4123
76,3.5034
77,3.6759
78,3.6953
79,3.8016
80,3.8073
81,3.8338
82,3.7332
83,3.5918
84,3.5787
85,3.5082
86,3.5173
87,3.6449
88,3.6883
89,3.7922
90,3.8903
91,3.8921
92,3.8977
93,3.8406
94,3.7612
95,3.603
96,3.5315
97,3.3721
98,3.3231
99,3.4145
100,3.3501
