Com,4
Node,384
SN,2418-0384
Firmware,8.00
Num Channels,4
Sample Rate,4 Hz
Date (GMT),13/05/2014 07:56:49
Time (GMT),07:56:46:189


Calibration Coefficients
Channel,1,Slope,0.00417537,Offset,-8.3904,Units,G
Channel,2,Slope,0.00420168,Offset,-8.46218,Units,G
Channel,3,Slope,0.00422833,Offset,-8.38689,Units,G
Channel,4,Slope,0.117188,Offset,-67.84,Units,°C

Timestamp (GMT),Timer Tick,Channel 1,Channel 2,Channel 3,Channel 4,Node RSSI (dBm),Base RSSI (dBm)
13/05/2014 07:56:59.756750000,47,-0.006256785244,0.008406654,-0.9999974966,45.59798813,-17,-56
13/05/2014 07:57:00.006750000,48,-0.006256785244,0.01681001484,-1.00422585,45.59798813,-17,-55
13/05/2014 07:57:00.256750000,49,0.006269325037,0.008406654,-1.008454204,45.59798813,-17,-55
13/05/2014 07:57:00.506750000,50,-0.006256785244,0.008406654,-1.008454204,45.71517563,-17,-55
13/05/2014 07:57:00.756750000,51,0.002093954943,0.008406654,-1.012682557,45.59798813,-17,-55
13/05/2014 07:57:01.006750000,52,-0.00208141515,0.008406654,-1.00422585,45.71517563,-17,-56
13/05/2014 07:57:01.256750000,53,-0.01460752543,0.004204974044,-1.00422585,45.71517563,-17,-56
13/05/2014 07:57:01.506750000,54,-0.006256785244,0.01260833442,-1.008454204,45.71517563,-17,-56
13/05/2014 07:57:01.756750000,55,0.006269325037,0.008406654,-1.00422585,45.71517563,-17,-56
13/05/2014 07:57:02.006750000,56,-0.006256785244,0.01260833442,-1.00422585,45.71517563,-17,-56
13/05/2014 07:57:02.256750000,57,-0.006256785244,0.008406654,-1.008454204,45.71517563,-17,-56
13/05/2014 07:57:02.506750000,58,-0.00208141515,0.004204974044,-0.9999974966,45.71517563,-17,-56
13/05/2014 07:57:02.756750000,59,-0.00208141515,0.01681001484,-1.008454204,45.71517563,-17,-56
13/05/2014 07:57:03.006750000,60,-0.006256785244,0.008406654,-1.008454204,45.71517563,-17,-56
13/05/2014 07:57:03.256750000,61,-0.00208141515,0.008406654,-1.008454204,45.71517563,-17,-56
13/05/2014 07:57:03.506750000,62,-0.00208141515,0.0210116934,-1.008454204,45.71517563,-17,-56
13/05/2014 07:57:03.756750000,63,-0.006256785244,0.01260833442,-1.008454204,45.71517563,-17,-56
13/05/2014 07:57:04.006750000,64,-0.00208141515,0.008406654,-0.9999974966,45.71517563,-17,-56
13/05/2014 07:57:04.256750000,65,0.002093954943,0.008406654,-1.012682557,45.71517563,-17,-56
13/05/2014 07:57:04.506750000,66,-0.0104321558,-0.004198385868,-1.012682557,45.71517563,-17,-56
13/05/2014 07:57:04.756750000,67,-0.00208141515,0.004204974044,-1.012682557,45.71517563,-17,-56
13/05/2014 07:57:05.006750000,68,-0.00208141515,0.01260833442,-1.012682557,45.71517563,-17,-56
13/05/2014 07:57:05.256750000,69,0.006269325037,0.01260833442,-1.012682557,45.71517563,-17,-56
13/05/2014 07:57:05.506750000,70,0.002093954943,0.01681001484,-0.9999974966,45.71517563,-17,-56
13/05/2014 07:57:05.756750000,71,0.006269325037,0.008406654,-1.008454204,45.71517563,-17,-56
13/05/2014 07:57:06.006750000,72,-0.01460752543,0.0210116934,-0.9999974966,45.71517563,-18,-55
13/05/2014 07:57:06.256750000,73,0.002093954943,0.004204974044,-1.016910791,45.71517563,-18,-55
13/05/2014 07:57:06.506750000,74,-0.006256785244,0.004204974044,-1.008454204,45.71517563,-18,-55
13/05/2014 07:57:06.756750000,75,0.002093954943,0.01681001484,-1.008454204,45.71517563,-18,-55
13/05/2014 07:57:07.006750000,76,-0.00208141515,0.008406654,-1.00422585,45.71517563,-17,-55
13/05/2014 07:57:07.256750000,77,0.01044469513,0.004204974044,-1.00422585,45.71517563,-17,-55
13/05/2014 07:57:07.506750000,78,0.01044469513,0.004204974044,-1.00422585,45.71517563,-17,-55
13/05/2014 07:57:07.756750000,79,-0.00208141515,0.008406654,-1.012682557,45.71517563,-17,-55
13/05/2014 07:57:08.006750000,80,-0.00208141515,0.01260833442,-1.008454204,45.71517563,-17,-56
13/05/2014 07:57:08.256750000,81,0.006269325037,3.294087946e-006,-0.9999974966,45.71517563,-17,-56
13/05/2014 07:57:08.506750000,82,-0.0104321558,0.01260833442,-1.012682557,45.71517563,-17,-56
13/05/2014 07:57:08.756750000,83,-0.006256785244,0.004204974044,-1.00422585,45.71517563,-17,-56
13/05/2014 07:57:09.006750000,84,0.006269325037,0.008406654,-0.9999974966,45.71517563,-18,-56
13/05/2014 07:57:09.256750000,85,-0.00208141515,3.294087946e-006,-1.00422585,45.71517563,-18,-56
13/05/2014 07:57:09.506750000,86,0.002093954943,0.004204974044,-1.012682557,45.71517563,-18,-56
13/05/2014 07:57:09.756750000,87,-0.01460752543,0.01260833442,-1.008454204,45.71517563,-18,-56
13/05/2014 07:57:10.006750000,88,0.006269325037,0.008406654,-0.9999974966,45.83236313,-18,-56
13/05/2014 07:57:10.256750000,89,-0.00208141515,0.008406654,-0.9999974966,45.83236313,-18,-56
13/05/2014 07:57:10.506750000,90,0.006269325037,0.008406654,-1.008454204,45.71517563,-18,-56
13/05/2014 07:57:10.756750000,91,0.006269325037,0.008406654,-1.00422585,45.71517563,-18,-56
13/05/2014 07:57:11.006750000,92,0.002093954943,0.01260833442,-1.008454204,45.83236313,-18,-56
13/05/2014 07:57:11.256750000,93,-0.006256785244,0.008406654,-1.012682557,45.83236313,-18,-56
13/05/2014 07:57:11.506750000,94,-0.00208141515,0.008406654,-1.00422585,45.71517563,-18,-56
13/05/2014 07:57:11.756750000,95,-0.006256785244,0.01681001484,-0.9999974966,45.83236313,-18,-56
13/05/2014 07:57:12.006750000,96,0.01044469513,0.01260833442,-1.016910791,45.83236313,-18,-55
13/05/2014 07:57:12.256750000,97,-0.006256785244,0.02521337382,-0.9999974966,45.83236313,-18,-55
13/05/2014 07:57:12.506750000,98,-0.006256785244,0.004204974044,-1.012682557,45.83236313,-18,-55
13/05/2014 07:57:12.756750000,99,0.002093954943,0.004204974044,-1.008454204,45.83236313,-18,-55
13/05/2014 07:57:13.006750000,100,0.002093954943,0.01260833442,-0.9999974966,45.83236313,-18,-55
13/05/2014 07:57:13.256750000,101,0.002093954943,0.01681001484,-1.008454204,45.83236313,-18,-55
13/05/2014 07:57:13.506750000,102,0.006269325037,-0.004198385868,-1.00422585,45.83236313,-18,-55
13/05/2014 07:57:13.756750000,103,0.01044469513,0.008406654,-0.9957692027,45.83236313,-18,-55
13/05/2014 07:57:14.006750000,104,-0.01460752543,0.004204974044,-1.021139145,45.83236313,-17,-56
13/05/2014 07:57:14.256750000,105,0.002093954943,0.01681001484,-1.016910791,45.83236313,-17,-56
13/05/2014 07:57:14.506750000,106,-0.006256785244,0.01260833442,-1.00422585,45.83236313,-17,-56
13/05/2014 07:57:14.756750000,107,0.006269325037,0.004204974044,-1.008454204,45.83236313,-17,-56
13/05/2014 07:57:15.006750000,108,0.006269325037,0.01681001484,-1.012682557,45.83236313,-17,-55
13/05/2014 07:57:15.256750000,109,0.006269325037,0.008406654,-1.008454204,45.83236313,-17,-55
13/05/2014 07:57:15.506750000,110,-0.006256785244,0.008406654,-1.012682557,45.83236313,-17,-55
13/05/2014 07:57:15.756750000,111,-0.006256785244,0.004204974044,-0.9999974966,45.83236313,-17,-55
13/05/2014 07:57:16.006750000,112,-0.00208141515,0.01260833442,-1.008454204,45.83236313,-18,-55
13/05/2014 07:57:16.256750000,113,-0.006256785244,0.008406654,-1.008454204,45.83236313,-18,-55
13/05/2014 07:57:16.506750000,114,-0.00208141515,0.02521337382,-1.03805244,45.83236313,-18,-55
13/05/2014 07:57:16.756750000,115,-0.00208141515,0.004204974044,-1.008454204,45.83236313,-18,-55
13/05/2014 07:57:17.006750000,116,0.002093954943,0.01260833442,-1.008454204,45.83236313,-17,-55
