Com,4
Node,574
SN,2428-0574
Firmware,8.00
Num Channels,3
Sample Rate,1 sample per 10 sec
Date (GMT),13/05/2014 07:56:50
Time (GMT),07:56:46:333


Calibration Coefficients
Channel,1,Slope,0.199383,Offset,-406.741,Units,µStrain
Channel,2,Slope,0.197917,Offset,-403.949,Units,µStrain
Channel,8,Slope,0.117188,Offset,-67.84,Units,°C

Timestamp (GMT),Timer Tick,Channel 1,Channel 2,Channel 8,Node RSSI (dBm),Base RSSI (dBm)
13/05/2014 08:06:20.011750000,57,82.14613342,-146.8548279,26.02759171,-24,-67
13/05/2014 08:06:30.011750000,58,82.34551239,-146.8548279,26.02759171,-24,-67
13/05/2014 08:06:40.011750000,59,81.94674683,-147.6464844,26.02759171,-24,-67
13/05/2014 08:06:50.011750000,60,81.94674683,-147.4485779,26.02759171,-24,-67
13/05/2014 08:07:00.011750000,61,82.14613342,-147.4485779,26.02759171,-24,-67
13/05/2014 08:07:10.011750000,62,81.94674683,-147.2506561,26.02759171,-24,-67
13/05/2014 08:07:20.011750000,63,82.14613342,-147.6464844,26.02759171,-24,-67
13/05/2014 08:07:30.011750000,64,81.94674683,-147.0527344,26.02759171,-24,-67
13/05/2014 08:07:40.011750000,65,81.94674683,-147.0527344,26.02759171,-24,-67
13/05/2014 08:07:50.011750000,66,81.54798126,-146.8548279,26.02759171,-24,-67
13/05/2014 08:08:00.011750000,67,81.1492157,-147.0527344,26.02759171,-24,-67
13/05/2014 08:08:10.011750000,68,81.94674683,-147.0527344,26.02759171,-24,-67
13/05/2014 08:08:20.011750000,69,81.94674683,-147.2506561,26.02759171,-24,-67
13/05/2014 08:08:30.011750000,70,82.14613342,-146.6569061,26.02759171,-24,-67
13/05/2014 08:08:40.011750000,71,81.54798126,-147.2506561,26.02759171,-24,-67
13/05/2014 08:08:50.011750000,72,81.74736786,-147.4485779,26.02759171,-24,-67
13/05/2014 08:09:00.011750000,73,81.74736786,-147.2506561,26.02759171,-24,-67
13/05/2014 08:09:10.011750000,74,81.74736786,-147.2506561,26.02759171,-24,-67
13/05/2014 08:09:20.011750000,75,81.94674683,-147.0527344,26.02759171,-24,-67
13/05/2014 08:09:30.011750000,76,81.74736786,-147.4485779,26.02759171,-24,-67
13/05/2014 08:09:40.011750000,77,82.14613342,-146.6569061,26.02759171,-24,-67
13/05/2014 08:09:50.011750000,78,81.54798126,-146.6569061,26.02759171,-24,-67
13/05/2014 08:10:00.011750000,79,82.34551239,-146.6569061,26.02759171,-24,-67
13/05/2014 08:10:10.011750000,80,82.74427795,-146.4589844,26.02759171,-24,-67
13/05/2014 08:10:20.011750000,81,82.54489899,-146.4589844,26.02759171,-24,-67
13/05/2014 08:10:30.011750000,82,81.54798126,-147.4485779,26.02759171,-24,-67
13/05/2014 08:10:40.011750000,83,81.34860229,-146.8548279,26.02759171,-24,-67
13/05/2014 08:10:50.011750000,84,81.94674683,-146.8548279,26.02759171,-24,-67
13/05/2014 08:11:00.011750000,85,81.74736786,-147.6464844,26.02759171,-24,-67
13/05/2014 08:11:10.011750000,86,82.14613342,-147.4485779,26.02759171,-24,-67
13/05/2014 08:11:20.011750000,87,82.34551239,-147.0527344,26.02759171,-24,-67
13/05/2014 08:11:30.011750000,88,82.74427795,-146.4589844,26.02759171,-24,-67
13/05/2014 08:11:40.011750000,89,82.14613342,-147.0527344,26.02759171,-24,-67
13/05/2014 08:11:50.011750000,90,81.34860229,-146.4589844,26.02759171,-24,-67
13/05/2014 08:12:00.011750000,91,81.74736786,-147.0527344,26.02759171,-24,-67
13/05/2014 08:12:10.011750000,92,81.94674683,-146.8548279,26.02759171,-24,-67
13/05/2014 08:12:20.011750000,93,82.14613342,-146.8548279,26.02759171,-24,-67
13/05/2014 08:12:30.011750000,94,81.34860229,-146.8548279,26.02759171,-24,-67
13/05/2014 08:12:40.011750000,95,81.74736786,-146.6569061,26.02759171,-24,-67
13/05/2014 08:12:50.011750000,96,81.74736786,-147.0527344,26.02759171,-24,-67
13/05/2014 08:13:00.011750000,97,82.34551239,-147.4485779,26.02759171,-24,-67
13/05/2014 08:13:10.011750000,98,81.54798126,-147.0527344,26.02759171,-24,-67
13/05/2014 08:13:20.011750000,99,81.94674683,-147.2506561,26.02759171,-24,-67
13/05/2014 08:13:30.011750000,100,82.14613342,-147.0527344,26.02759171,-24,-67
13/05/2014 08:13:40.011750000,101,81.54798126,-146.2610779,26.02759171,-24,-67
13/05/2014 08:13:50.011750000,102,81.74736786,-147.0527344,26.02759171,-24,-67
13/05/2014 08:14:00.011750000,103,82.34551239,-146.6569061,26.02759171,-24,-67
13/05/2014 08:14:10.011750000,104,82.54489899,-146.6569061,26.02759171,-24,-67
13/05/2014 08:14:20.011750000,105,81.54798126,-146.6569061,26.02759171,-24,-67
13/05/2014 08:14:30.011750000,106,81.94674683,-147.2506561,26.02759171,-24,-67
13/05/2014 08:14:40.011750000,107,82.74427795,-147.4485779,26.02759171,-24,-67
13/05/2014 08:14:50.011750000,108,81.94674683,-146.2610779,26.02759171,-24,-67
13/05/2014 08:15:00.011750000,109,81.94674683,-146.6569061,26.02759171,-24,-67
13/05/2014 08:15:10.011750000,110,82.34551239,-146.2610779,26.02759171,-24,-67
13/05/2014 08:15:20.011750000,111,81.74736786,-146.4589844,26.02759171,-24,-67
13/05/2014 08:15:30.011750000,112,81.94674683,-147.4485779,26.02759171,-24,-67
13/05/2014 08:15:40.011750000,113,81.94674683,-146.8548279,26.02759171,-23,-67
13/05/2014 08:15:50.011750000,114,81.94674683,-146.6569061,26.02759171,-24,-67
13/05/2014 08:16:00.011750000,115,82.14613342,-147.2506561,26.02759171,-24,-67
13/05/2014 08:16:10.011750000,116,82.54489899,-146.0631561,26.02759171,-24,-67
13/05/2014 08:16:20.011750000,117,82.54489899,-146.6569061,26.02759171,-24,-67
13/05/2014 08:16:30.011750000,118,81.94674683,-146.6569061,26.02759171,-24,-67
13/05/2014 08:16:40.011750000,119,82.14613342,-146.8548279,26.02759171,-24,-67
13/05/2014 08:16:50.011750000,120,82.14613342,-146.8548279,26.02759171,-24,-67
13/05/2014 08:17:00.011750000,121,83.14304352,-146.6569061,26.02759171,-24,-67
13/05/2014 08:17:10.011750000,122,82.34551239,-146.8548279,26.02759171,-24,-67
13/05/2014 08:17:20.011750000,123,81.74736786,-146.4589844,26.02759171,-24,-67
13/05/2014 08:17:30.011750000,124,81.54798126,-146.6569061,26.02759171,-24,-67
13/05/2014 08:17:40.011750000,125,81.1492157,-147.2506561,26.02759171,-24,-67
13/05/2014 08:17:50.011750000,126,81.54798126,-146.6569061,26.02759171,-24,-67
13/05/2014 08:18:00.011750000,127,82.14613342,-147.4485779,26.02759171,-24,-67
13/05/2014 08:18:10.011750000,128,81.54798126,-146.6569061,26.02759171,-24,-67
13/05/2014 08:18:20.011750000,129,81.74736786,-147.4485779,26.02759171,-24,-67
13/05/2014 08:18:30.011750000,130,82.14613342,-146.6569061,26.02759171,-24,-67
13/05/2014 08:18:40.011750000,131,82.14613342,-147.2506561,26.02759171,-24,-67
13/05/2014 08:18:50.011750000,132,82.14613342,-146.6569061,26.02759171,-24,-67
13/05/2014 08:19:00.011750000,133,82.54489899,-146.6569061,26.02759171,-24,-67
13/05/2014 08:19:10.011750000,134,81.74736786,-146.6569061,26.02759171,-24,-67
13/05/2014 08:19:20.011750000,135,82.54489899,-146.8548279,26.02759171,-24,-67
13/05/2014 08:19:30.011750000,136,81.94674683,-146.8548279,26.02759171,-24,-67
13/05/2014 08:19:40.011750000,137,81.94674683,-147.2506561,26.02759171,-24,-67
13/05/2014 08:19:50.011750000,138,81.94674683,-147.0527344,26.02759171,-24,-67
13/05/2014 08:20:00.011750000,139,82.14613342,-146.2610779,26.02759171,-24,-67
13/05/2014 08:20:10.011750000,140,81.54798126,-146.6569061,26.02759171,-24,-67
13/05/2014 08:20:20.011750000,141,82.54489899,-146.6569061,26.02759171,-24,-67
13/05/2014 08:20:30.011750000,142,82.34551239,-146.6569061,26.02759171,-24,-67
13/05/2014 08:20:40.011750000,143,81.94674683,-146.4589844,26.02759171,-24,-67
13/05/2014 08:20:50.011750000,144,82.34551239,-146.2610779,26.02759171,-24,-67
13/05/2014 08:21:00.011750000,145,82.54489899,-145.4694061,26.02759171,-24,-67
13/05/2014 08:21:10.011750000,146,81.34860229,-146.2610779,26.02759171,-24,-67
13/05/2014 08:21:20.011750000,147,81.94674683,-146.4589844,26.02759171,-24,-67
13/05/2014 08:21:30.011750000,148,82.14613342,-145.6673279,26.02759171,-24,-67
