Com,4
Node,573
SN,2428-0573
Firmware,8.00
Num Channels,4
Sample Rate,1 sample per 10 sec
Date (GMT),13/05/2014 07:56:50
Time (GMT),07:56:46:261


Calibration Coefficients
Channel,1,Slope,0.200373,Offset,-478.49,Units,µStrain
Channel,2,Slope,0.198525,Offset,-465.343,Units,µStrain
Channel,3,Slope,0.199383,Offset,-413.72,Units,µStrain
Channel,8,Slope,0.117188,Offset,-67.84,Units,°C

Timestamp (GMT),Timer Tick,Channel 1,Channel 2,Channel 3,Channel 8,Node RSSI (dBm),Base RSSI (dBm)
13/05/2014 08:05:00.101750000,49,-232.4319611,-18.06616974,48.84857178,25.20727539,-26,-69
13/05/2014 08:05:10.101750000,50,-232.4319611,-19.2573204,48.84857178,25.20727539,-26,-69
13/05/2014 08:05:20.101750000,51,-231.4300842,-18.26469421,48.649189,25.20727539,-26,-69
13/05/2014 08:05:30.101750000,52,-231.4300842,-18.66174507,49.24733734,25.20727539,-26,-69
13/05/2014 08:05:40.101750000,53,-231.6304626,-18.26469421,48.84857178,25.20727539,-26,-69
13/05/2014 08:05:50.101750000,54,-231.4300842,-18.66174507,49.24733734,25.20727539,-26,-69
13/05/2014 08:06:00.101750000,55,-232.0312042,-18.66174507,48.44980621,25.20727539,-26,-69
13/05/2014 08:06:10.101750000,56,-231.8308411,-18.06616974,48.44980621,25.20727539,-26,-69
13/05/2014 08:06:20.101750000,57,-232.2315826,-18.46321869,48.84857178,25.20727539,-26,-69
13/05/2014 08:06:30.101750000,58,-232.0312042,-18.26469421,48.44980621,25.20727539,-26,-69
13/05/2014 08:06:40.101750000,59,-231.4300842,-18.66174507,48.44980621,25.20727539,-26,-69
13/05/2014 08:06:50.101750000,60,-231.2297211,-18.66174507,48.25042343,25.20727539,-26,-69
13/05/2014 08:07:00.101750000,61,-232.4319611,-18.26469421,48.05104065,25.20727539,-26,-69
13/05/2014 08:07:10.101750000,62,-231.2297211,-18.66174507,49.24733734,25.20727539,-26,-69
13/05/2014 08:07:20.101750000,63,-231.2297211,-18.46321869,48.649189,25.20727539,-26,-69
13/05/2014 08:07:30.101750000,64,-231.2297211,-18.46321869,48.25042343,25.20727539,-26,-69
13/05/2014 08:07:40.101750000,65,-231.4300842,-19.05879402,48.649189,25.20727539,-26,-69
13/05/2014 08:07:50.101750000,66,-231.8308411,-18.66174507,48.44980621,25.20727539,-26,-69
13/05/2014 08:08:00.101750000,67,-231.2297211,-18.86026955,48.84857178,25.20727539,-26,-69
13/05/2014 08:08:10.101750000,68,-231.6304626,-18.66174507,48.25042343,25.20727539,-26,-69
13/05/2014 08:08:20.101750000,69,-231.6304626,-19.05879402,48.44980621,25.20727539,-26,-69
13/05/2014 08:08:30.101750000,70,-231.4300842,-18.66174507,48.84857178,25.20727539,-26,-69
13/05/2014 08:08:40.101750000,71,-231.4300842,-18.86026955,49.04795456,25.20727539,-26,-69
13/05/2014 08:08:50.101750000,72,-230.8289642,-18.26469421,48.649189,25.20727539,-26,-69
13/05/2014 08:09:00.101750000,73,-231.4300842,-18.66174507,49.04795456,25.20727539,-26,-69
13/05/2014 08:09:10.101750000,74,-231.6304626,-18.66174507,48.649189,25.20727539,-26,-69
13/05/2014 08:09:20.101750000,75,-231.0293427,-18.46321869,49.04795456,25.20727539,-26,-69
13/05/2014 08:09:30.101750000,76,-232.0312042,-18.66174507,48.25042343,25.20727539,-26,-69
13/05/2014 08:09:40.101750000,77,-231.4300842,-18.46321869,48.649189,25.20727539,-26,-69
13/05/2014 08:09:50.101750000,78,-231.0293427,-18.66174507,48.05104065,25.20727539,-26,-69
13/05/2014 08:10:00.101750000,79,-230.8289642,-18.86026955,49.24733734,25.20727539,-26,-69
13/05/2014 08:10:10.101750000,80,-231.8308411,-18.86026955,48.649189,25.20727539,-27,-69
13/05/2014 08:10:20.101750000,81,-231.6304626,-18.86026955,48.649189,25.20727539,-26,-69
13/05/2014 08:10:30.101750000,82,-232.2315826,-18.86026955,49.04795456,25.20727539,-26,-69
13/05/2014 08:10:40.101750000,83,-232.2315826,-18.26469421,49.04795456,25.20727539,-26,-69
13/05/2014 08:10:50.101750000,84,-232.0312042,-18.66174507,48.649189,25.20727539,-26,-69
13/05/2014 08:11:00.101750000,85,-231.6304626,-19.65436935,48.649189,25.20727539,-26,-69
13/05/2014 08:11:10.101750000,86,-231.8308411,-18.46321869,48.649189,25.20727539,-26,-69
13/05/2014 08:11:20.101750000,87,-231.8308411,-18.66174507,48.05104065,25.20727539,-26,-69
13/05/2014 08:11:30.101750000,88,-231.8308411,-18.86026955,48.44980621,25.20727539,-26,-69
13/05/2014 08:11:40.101750000,89,-231.0293427,-18.86026955,48.25042343,25.20727539,-26,-69
13/05/2014 08:11:50.101750000,90,-231.2297211,-18.66174507,48.649189,25.20727539,-26,-69
13/05/2014 08:12:00.101750000,91,-231.0293427,-18.46321869,47.85165787,25.20727539,-26,-69
13/05/2014 08:12:10.101750000,92,-231.6304626,-18.86026955,48.25042343,25.20727539,-26,-69
13/05/2014 08:12:20.101750000,93,-231.2297211,-18.46321869,48.649189,25.20727539,-26,-69
13/05/2014 08:12:30.101750000,94,-231.6304626,-19.2573204,48.84857178,25.20727539,-26,-69
13/05/2014 08:12:40.101750000,95,-231.4300842,-18.26469421,49.04795456,25.20727539,-26,-69
13/05/2014 08:12:50.101750000,96,-231.0293427,-18.26469421,48.05104065,25.20727539,-26,-69
13/05/2014 08:13:00.101750000,97,-231.0293427,-18.26469421,48.84857178,25.20727539,-26,-69
13/05/2014 08:13:10.101750000,98,-231.6304626,-18.06616974,49.44672012,25.20727539,-26,-69
13/05/2014 08:13:20.101750000,99,-231.6304626,-18.86026955,48.84857178,25.20727539,-26,-69
13/05/2014 08:13:30.101750000,100,-231.0293427,-18.86026955,48.25042343,25.20727539,-26,-69
13/05/2014 08:13:40.101750000,101,-230.8289642,-18.46321869,48.649189,25.20727539,-26,-69
13/05/2014 08:13:50.101750000,102,-231.8308411,-18.26469421,48.649189,25.20727539,-26,-69
13/05/2014 08:14:00.101750000,103,-230.8289642,-18.66174507,49.04795456,25.20727539,-26,-69
13/05/2014 08:14:10.101750000,104,-230.6286011,-17.86764526,48.649189,25.20727539,-26,-69
13/05/2014 08:14:20.101750000,105,-231.6304626,-19.05879402,48.649189,25.20727539,-26,-69
13/05/2014 08:14:30.101750000,106,-231.2297211,-18.66174507,48.649189,25.20727539,-26,-69
13/05/2014 08:14:40.101750000,107,-231.0293427,-18.06616974,48.84857178,25.20727539,-26,-69
13/05/2014 08:14:50.101750000,108,-232.0312042,-18.26469421,48.649189,25.20727539,-26,-69
13/05/2014 08:15:00.101750000,109,-231.0293427,-19.05879402,48.44980621,25.20727539,-26,-69
13/05/2014 08:15:10.101750000,110,-230.8289642,-18.46321869,48.25042343,25.20727539,-26,-69
13/05/2014 08:15:20.101750000,111,-231.4300842,-19.05879402,48.649189,25.20727539,-26,-69
13/05/2014 08:15:30.101750000,112,-231.0293427,-19.2573204,48.649189,25.20727539,-26,-69
13/05/2014 08:15:40.101750000,113,-231.4300842,-19.05879402,48.649189,25.20727539,-26,-69
13/05/2014 08:15:50.101750000,114,-231.4300842,-18.46321869,48.05104065,25.20727539,-26,-69
13/05/2014 08:16:00.101750000,115,-231.4300842,-19.05879402,48.649189,25.20727539,-26,-69
13/05/2014 08:16:10.101750000,116,-231.4300842,-19.2573204,48.05104065,25.20727539,-26,-69
13/05/2014 08:16:20.101750000,117,-231.8308411,-18.46321869,49.44672012,25.20727539,-26,-69
13/05/2014 08:16:30.101750000,118,-231.4300842,-18.26469421,48.84857178,25.20727539,-26,-69
13/05/2014 08:16:40.101750000,119,-231.2297211,-18.86026955,48.44980621,25.20727539,-26,-69
13/05/2014 08:16:50.101750000,120,-230.4282227,-19.2573204,49.24733734,25.20727539,-26,-69
13/05/2014 08:17:00.101750000,121,-231.8308411,-18.66174507,48.44980621,25.20727539,-26,-69
13/05/2014 08:17:10.101750000,122,-231.0293427,-18.86026955,48.44980621,25.20727539,-26,-69
13/05/2014 08:17:20.101750000,123,-230.6286011,-18.26469421,48.649189,25.20727539,-26,-69
13/05/2014 08:17:30.101750000,124,-232.0312042,-18.26469421,48.05104065,25.20727539,-26,-69
13/05/2014 08:17:40.101750000,125,-231.8308411,-18.46321869,48.44980621,25.20727539,-26,-69
13/05/2014 08:17:50.101750000,126,-231.0293427,-18.46321869,49.64610291,25.20727539,-26,-69
13/05/2014 08:18:00.101750000,127,-231.0293427,-18.86026955,48.44980621,25.20727539,-26,-69
13/05/2014 08:18:10.101750000,128,-230.8289642,-18.46321869,48.25042343,25.20727539,-26,-69
13/05/2014 08:18:20.101750000,129,-231.0293427,-18.46321869,48.649189,25.20727539,-26,-69
13/05/2014 08:18:30.101750000,130,-231.4300842,-18.46321869,48.44980621,25.20727539,-26,-69
13/05/2014 08:18:40.101750000,131,-231.2297211,-18.06616974,48.649189,25.20727539,-26,-69
13/05/2014 08:18:50.101750000,132,-232.2315826,-18.86026955,48.649189,25.20727539,-26,-69
13/05/2014 08:19:00.101750000,133,-231.0293427,-19.2573204,48.05104065,25.20727539,-26,-69
13/05/2014 08:19:10.101750000,134,-230.4282227,-18.26469421,48.05104065,25.20727539,-26,-69
13/05/2014 08:19:20.101750000,135,-230.4282227,-18.86026955,48.649189,25.20727539,-26,-69
13/05/2014 08:19:30.101750000,136,-230.8289642,-19.05879402,48.44980621,25.20727539,-26,-69
13/05/2014 08:19:40.101750000,137,-231.8308411,-19.2573204,48.05104065,25.20727539,-26,-69
13/05/2014 08:19:50.101750000,138,-231.0293427,-18.66174507,48.649189,25.20727539,-26,-69
13/05/2014 08:20:00.101750000,139,-230.6286011,-18.86026955,48.84857178,25.20727539,-26,-69
13/05/2014 08:20:10.101750000,140,-231.0293427,-18.26469421,49.24733734,25.20727539,-26,-69
13/05/2014 08:20:20.101750000,141,-231.2297211,-18.46321869,47.65227509,25.20727539,-26,-69
13/05/2014 08:20:30.101750000,142,-230.6286011,-18.46321869,48.649189,25.20727539,-26,-69
13/05/2014 08:20:40.101750000,143,-231.2297211,-18.86026955,47.4528923,25.20727539,-26,-69
13/05/2014 08:20:50.101750000,144,-231.0293427,-18.66174507,47.65227509,25.20727539,-26,-69
13/05/2014 08:21:00.101750000,145,-231.2297211,-19.45584488,47.65227509,25.20727539,-26,-69
13/05/2014 08:21:10.101750000,146,-231.2297211,-19.2573204,48.25042343,25.20727539,-26,-69
13/05/2014 08:21:20.101750000,147,-231.8308411,-19.85289383,48.84857178,25.20727539,-26,-69
13/05/2014 08:21:30.101750000,148,-230.4282227,-19.05879402,48.25042343,25.20727539,-26,-69
